"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,"Svevestøv - PM2,5",316,300,294,306,309,302,336,400,400,365,379,438,452,452,432,445,452,469,489,510,477,466,450,416
,,PAH-4,8,4,4,5,5,6,7,9,7,5,8,8,7,9,8,8,9,7,8,7,7,8,8,7
,,Dioksin,10,10,10,10,10,15,14,18,22,16,10,116,15,25,15,41,11,10,8,11,10,8,8,8
,"Utvinning av råolje og naturgass, inkl. tjenester og rørtransport",Svevestøv - TSP,2178,2534,1913,1786,1705,1769,1946,2404,2344,1989,2817,2435,2499,2417,2607,2167,2114,1993,1939,1983,1966,1828,1858,1603
,,Svevestøv - PM10,2130,2416,1863,1753,1687,1749,1909,2382,2311,1958,2721,2397,2449,2389,2563,2156,2103,1985,1929,1973,1958,1820,1844,1593
,,"Svevestøv - PM2,5",1992,2132,1729,1659,1627,1679,1800,2304,2213,1863,2472,2265,2297,2279,2414,2089,2041,1929,1871,1911,1895,1761,1780,1542
,,PAH-4,33,33,27,30,28,25,30,29,27,28,81,60,53,50,51,48,43,41,38,42,44,41,42,33
,,Dioksin,2580,2568,2219,2245,2193,2253,2495,2537,2492,2599,3539,3633,3784,3820,3990,3409,3243,3035,3077,3280,3345,3144,3311,2671
,"Nærings-, drikkevare- og tobakksindustri",Svevestøv - TSP,99,105,106,107,91,72,69,60,64,50,126,113,73,73,59,48,51,55,50,57,73,49,43,43
,,Svevestøv - PM10,83,89,90,88,78,61,57,50,55,43,113,102,65,65,53,42,46,50,46,53,69,45,38,38
,,"Svevestøv - PM2,5",60,67,68,64,59,49,44,39,43,35,103,94,59,60,47,37,41,45,42,49,64,40,33,32
,,PAH-4,5,9,10,9,9,9,8,7,8,6,7,7,7,4,4,5,5,4,4,4,5,5,4,4
,,Dioksin,23,18,19,23,20,19,20,20,18,24,51,48,37,34,26,24,50,48,46,44,84,54,32,35
,"Tekstil-, beklednings- og lærvareindustri",Svevestøv - TSP,4,4,4,4,3,3,3,3,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
,,Svevestøv - PM10,3,3,3,3,3,3,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
,,"Svevestøv - PM2,5",2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Trelast- og trevareindustri, unntatt møbler",Svevestøv - TSP,721,694,643,677,748,720,729,812,660,518,577,639,644,637,654,680,630,615,666,701,732,803,750,839
,,Svevestøv - PM10,443,426,389,393,431,394,399,478,380,291,310,364,384,398,396,418,380,361,399,458,453,497,473,599
,,"Svevestøv - PM2,5",442,423,386,389,427,390,395,476,378,289,309,363,384,398,396,418,380,361,399,457,453,497,473,599
,,PAH-4,4,5,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5
,,Dioksin,184,178,181,169,184,169,162,193,158,139,162,182,180,179,170,193,175,169,185,203,206,211,216,271
,Produksjon av papir og papirvarer,Svevestøv - TSP,671,809,542,431,530,444,418,410,411,287,402,372,221,205,70,62,59,65,83,86,48,67,57,63
,,Svevestøv - PM10,557,687,459,373,461,375,358,356,353,248,353,325,188,172,60,52,50,55,73,73,40,54,48,53
,,"Svevestøv - PM2,5",462,586,393,315,394,301,294,299,294,205,301,276,155,140,50,42,41,45,62,63,33,43,38,43
,,PAH-4,23,25,26,32,31,31,35,31,34,29,37,34,25,21,11,11,10,11,10,4,4,5,4,3
,,Dioksin,4282,3129,1137,1192,1114,1139,1198,1188,1274,974,1280,1294,857,697,200,202,183,253,254,239,237,271,218,183
